Partlist

Exported from BMS.brd at 4/23/2016 3:34:17 PM

EAGLE Version 7.2.0 Copyright (c) 1988-2014 CadSoft

Assembly variant: 

Part     Value               Package                  Library           Position (mil)        Orientation

1        BCV71SMD            SOT23-BEC                transistor-npn    (3978 2525)           R90
2        BCV71SMD            SOT23-BEC                transistor-npn    (5536.59055 2704.40945) MR0
3        BCV71SMD            SOT23-BEC                transistor-npn    (1878 2678)           R0
R52      16                  RR02J16RTB               FSAE Electric     (4290 1890)           R180
R53      16                  RR02J16RTB               FSAE Electric     (4412 2020)           R0
R54      16                  RR02J16RTB               FSAE Electric     (4430 2300)           R0
R55      16                  RR02J16RTB               FSAE Electric     (4290 2160)           R180
R56      16                  RR02J16RTB               FSAE Electric     (4410 2610)           R0
R57      16                  RR02J16RTB               FSAE Electric     (4290 2440)           R180
R58      16                  RR02J16RTB               FSAE Electric     (4390 2930)           R0
R59      16                  RR02J16RTB               FSAE Electric     (4270 2740)           R180
R60      16                  RR02J16RTB               FSAE Electric     (4380 3190)           R0
R61      16                  RR02J16RTB               FSAE Electric     (4240 3060)           R180
R62      16                  RR02J16RTB               FSAE Electric     (4390 3460)           R0
R63      16                  RR02J16RTB               FSAE Electric     (4250 3330)           R180
R64      16                  RR02J16RTB               FSAE Electric     (4380 3730)           R0
R65      16                  RR02J16RTB               FSAE Electric     (4240 3600)           R180
R66      1K                  0603                     FSAE Electric     (5548.07087 1134.97638) R0
R67      10K                 MNR14                    FSAE Electric     (5512.61417 1456.80315) R180
R68      100K                0603                     FSAE Electric     (5418.08661 1136.38583) R180
R69      1.2K                0603                     FSAE Electric     (5546.28346 2562.4252) R0
R70      787                 0805                     FSAE Electric     (5545.45669 2635.40945) R180
R71      10K-NTC             NTC-NXRT15XH103FA5B      FSAE Electric     (4628.29921 3491.70866) R90
R72      10K-NTC             NTC-NXRT15XH103FA5B      FSAE Electric     (4950.3937 2464.91339) R0
R73      10K-NTC             NTC-NXRT15XH103FA5B      FSAE Electric     (4506.70866 1546.32283) R0
R74      100                 0603                     FSAE Electric     (3826 2635)           R0
R75      100                 0805                     FSAE Electric     (3676 2635)           R180
R76      100                 0805                     FSAE Electric     (3227 3759)           R0
R77      100                 0603                     FSAE Electric     (3228 3350)           R0
R78      100                 0603                     FSAE Electric     (3232 3563)           R0
R79      3.3K                0805                     FSAE Electric     (3229 3660)           R0
R80      3.3K                0603                     FSAE Electric     (3228 3443)           R0
R81      475                 0603                     FSAE Electric     (2870 3500)           R90
R82      475                 0603                     FSAE Electric     (2783 3288)           R90
R83      100                 0603                     FSAE Electric     (3206 2981)           R0
R84      3.3K                0805                     FSAE Electric     (3208 3084)           R0
R85      475                 0603                     FSAE Electric     (2697 3015)           R90
R86      100                 0603                     FSAE Electric     (3208 2772)           R0
R87      3.3K                0603                     FSAE Electric     (3206 2878)           R0
R88      475                 0603                     FSAE Electric     (2695 2654)           R90
R89      100                 0603                     FSAE Electric     (3207 2381)           R0
R90      3.3K                0603                     FSAE Electric     (3212 2663)           R0
R91      475                 0603                     FSAE Electric     (2682 2385)           R90
R92      100                 0603                     FSAE Electric     (3212 2004)           R0
R93      3.3K                0603                     FSAE Electric     (3211 2105)           R0
R94      475                 0603                     FSAE Electric     (2654 1859)           R90
R95      100                 0603                     FSAE Electric     (3207 2213)           R0
R96      3.3K                0603                     FSAE Electric     (3208 2296)           R0
R97      475                 0603                     FSAE Electric     (2651 2076)           R90
R98      100                 0603                     FSAE Electric     (3247 1697)           R0
R99      3.3K                0603                     FSAE Electric     (3207 1912)           R0
R100     475                 0603                     FSAE Electric     (2647 1613)           R90
R101     100                 0603                     FSAE Electric     (3243 1463)           R0
R102     3.3K                0603                     FSAE Electric     (3239 1586)           R0
R103     475                 0603                     FSAE Electric     (2646 1412)           R90
R104     100                 0805                     FSAE Electric     (3241 1239)           R0
R105     3.3K                0805                     FSAE Electric     (3244 1348)           R0
R106     475                 0603                     FSAE Electric     (2665 1104)           R90
R107     100                 0603                     FSAE Electric     (3247 931)            R0
R108     3.3K                0603                     FSAE Electric     (3245 1030)           R0
R109     475                 0603                     FSAE Electric     (2677 906)            R90
R110     100                 0603                     FSAE Electric     (3305 663)            R90
R111     3.3K                0603                     FSAE Electric     (3248 821)            R0
R112     475                 0603                     FSAE Electric     (2890 676)            R90
R113     0                   0603                     FSAE Electric     (3193.28346 319.67717) R0
R114     16                  RR02J16RTB               FSAE Electric     (2980 535)            R180
R115     16                  RR02J16RTB               FSAE Electric     (3121 672)            R0
R116     16                  RR02J16RTB               FSAE Electric     (2450 813)            R0
R117     16                  RR02J16RTB               FSAE Electric     (2307 677)            R180
R118     16                  RR02J16RTB               FSAE Electric     (2450 1068)           R0
R119     16                  RR02J16RTB               FSAE Electric     (2310 942)            R180
R120     16                  RR02J16RTB               FSAE Electric     (2458 1337)           R0
R121     16                  RR02J16RTB               FSAE Electric     (2314 1204)           R180
R122     16                  RR02J16RTB               FSAE Electric     (2465 1602)           R0
R123     16                  RR02J16RTB               FSAE Electric     (2323 1476)           R180
R124     16                  RR02J16RTB               FSAE Electric     (2335 1736)           R180
R125     16                  RR02J16RTB               FSAE Electric     (2482 1869)           R0
R126     16                  RR02J16RTB               FSAE Electric     (2479 2142)           R0
R127     16                  RR02J16RTB               FSAE Electric     (2342 2001)           R180
R128     16                  RR02J16RTB               FSAE Electric     (2488 2434)           R0
R129     16                  RR02J16RTB               FSAE Electric     (2342 2286)           R180
R130     16                  RR02J16RTB               FSAE Electric     (2473 2713)           R0
R131     16                  RR02J16RTB               FSAE Electric     (2348 2570)           R180
R132     16                  RR02J16RTB               FSAE Electric     (2476 3010)           R0
R133     16                  RR02J16RTB               FSAE Electric     (2336 2867)           R180
R134     16                  RR02J16RTB               FSAE Electric     (2494 3307)           R0
R135     16                  RR02J16RTB               FSAE Electric     (2343 3150)           R180
R136     16                  RR02J16RTB               FSAE Electric     (2514 3607)           R0
R137     16                  RR02J16RTB               FSAE Electric     (2367 3464)           R180
R138     1K                  0603                     FSAE Electric     (3976.08661 1307.22047) R90
R139     10K                 MNR14                    FSAE Electric     (3707.50394 1334.34646) R180
R140     100K                0603                     FSAE Electric     (3845.26772 1175.9685) R180
R141     1.2K                0603                     FSAE Electric     (3788.14173 2337.03937) MR90
R142     787                 0805                     FSAE Electric     (3709.72441 2335.70079) MR270
R143     10K-NTC             NTC-NXRT15XH103FA5B      FSAE Electric     (2707.88189 3531.06299) R90
R144     10K-NTC             NTC-NXRT15XH103FA5B      FSAE Electric     (3151.67717 2462.5748) R90
R145     10K-NTC             NTC-NXRT15XH103FA5B      FSAE Electric     (2733.45669 1419.27559) R0
R146     10K-NTC             NTC-NXRT15XH103FA5B      FSAE Electric     (3276.58268 395.2126) R90
R147     10K-NTC             NTC-NXRT15XH103FA5B      FSAE Electric     (5064.69291 392.51969) R90
R148     DNP                 0603                     FSAE Electric     (5581.92126 3301.55906) R270
R149     100                 0603                     FSAE Electric     (1620 2689)           R90
R150     100                 0603                     FSAE Electric     (1618 2550)           R270
R151     100                 0603                     FSAE Electric     (960 3728)            R180
R152     100                 0603                     FSAE Electric     (960 3175)            R0
R153     100                 0805                     FSAE Electric     (967.55906 3358.06299) R0
R154     3.3K                0603                     FSAE Electric     (965 3642)            R0
R155     3.3K                0805                     FSAE Electric     (965 3272)            R0
R156     475                 0603                     FSAE Electric     (443 3730)            R90
R157     475                 0603                     FSAE Electric     (468 3360)            R90
R158     100                 0603                     FSAE Electric     (960 2965)            R0
R159     3.3K                0603                     FSAE Electric     (955 3080)            R0
R160     475                 0603                     FSAE Electric     (455 3060)            R90
R161     100                 0603                     FSAE Electric     (953.70079 2646.47244) R0
R162     3.3K                0805                     FSAE Electric     (950 2735)            R0
R163     475                 0603                     FSAE Electric     (445 2835)            R90
R164     100                 0603                     FSAE Electric     (960 2355)            R0
R165     3.3K                0603                     FSAE Electric     (967 2518)            R0
R166     475                 0603                     FSAE Electric     (465 2565)            R90
R167     100                 0603                     FSAE Electric     (960 1900)            R0
R168     3.3K                0603                     FSAE Electric     (960 1980)            R0
R169     475                 0603                     FSAE Electric     (435 2025)            R90
