Partlist

Exported from BMS-HVver2.5.brd at 2/18/2017 9:01:58 AM

EAGLE Version 6.6.0 Copyright (c) 1988-2014 CadSoft

Assembly variant: 

Part     Value                 Package                  Library           Position (mil)        Orientation
R182     100                   0805                     FSAE Electric     (-2100 -1195)         R0
R183     3.3K                  0805                     FSAE Electric     (-2100 -1125)         R0
R184     475                   0603                     FSAE Electric     (-2600 -1020)         R90
R185     100                   0603                     FSAE Electric     (-1630 -1870)         MR90
R186     3.3K                  0805                     FSAE Electric     (-2100 -1260)         R0
R187     475                   0603                     FSAE Electric     (-2600 -1270)         R90
R188     0                     0603                     FSAE Electric     (-1790 -1985)         R90
R189     16                    RR02J16RTB               FSAE Electric     (-2875 -1300)         R180
R190     16                    RR02J16RTB               FSAE Electric     (-2725 -1175)         R0
R191     16                    RR02J16RTB               FSAE Electric     (-2875 -1050)         R180
R192     16                    RR02J16RTB               FSAE Electric     (-2725 -925)          R0
R193     16                    RR02J16RTB               FSAE Electric     (-2875 -800)          R180
R194     16                    RR02J16RTB               FSAE Electric     (-2725 -675)          R0
R195     16                    RR02J16RTB               FSAE Electric     (-2875 -550)          R180
R196     16                    RR02J16RTB               FSAE Electric     (-2725 -425)          R0
R197     16                    RR02J16RTB               FSAE Electric     (-2875 -300)          R180
R198     16                    RR02J16RTB               FSAE Electric     (-2725 -175)          R0
R199     16                    RR02J16RTB               FSAE Electric     (-2875 -50)           R180
R200     16                    RR02J16RTB               FSAE Electric     (-2725 75)            R0
R201     16                    RR02J16RTB               FSAE Electric     (-2900 200)           R180
R202     16                    RR02J16RTB               FSAE Electric     (-2750 325)           R0
R203     16                    RR02J16RTB               FSAE Electric     (-2900 450)           R180
R204     16                    RR02J16RTB               FSAE Electric     (-2750 575)           R0
R205     16                    RR02J16RTB               FSAE Electric     (-2900 700)           R180
R206     16                    RR02J16RTB               FSAE Electric     (-2750 825)           R0
R207     16                    RR02J16RTB               FSAE Electric     (-2900 950)           R180
R208     16                    RR02J16RTB               FSAE Electric     (-2750 1075)          R0
R209     16                    RR02J16RTB               FSAE Electric     (-2900 1200)          R180
R210     16                    RR02J16RTB               FSAE Electric     (-2750 1325)          R0
R211     16                    RR02J16RTB               FSAE Electric     (-2750 1575)          R0
R212     16                    RR02J16RTB               FSAE Electric     (-2900 1450)          R180
R213     1K                    0603                     FSAE Electric     (-1389 -262)          R90
R214     10K                   MNR14                    FSAE Electric     (-1245 -516)          R270
R215     100K                  0603                     FSAE Electric     (-1261 -262)          R90
R216     1.2K                  0603                     FSAE Electric     (-1131 439)           R90
R217     787                   0805                     FSAE Electric     (-1131 303)           R90
R218     10K-NTC               NTC-NXRT15XH103FA5B      FSAE Electric     (-1525 1335)          R90
R219     10K-NTC               NTC-NXRT15XH103FA5B      FSAE Electric     (-1955 295)           R90
R220     10K-NTC               NTC-NXRT15XH103FA5B      FSAE Electric     (-1525 -735)          R90
R221     10K-NTC               NTC-NXRT15XH103FA5B      FSAE Electric     (-1945 -1775)         R90
SJ1                            PAD-JUMPER-3-NO_YES_SILK SparkFun-Passives (2577 -737)           R0
SJ2                            PAD-JUMPER-3-NO_YES_SILK SparkFun-Passives (2577 -837)           R0
SJ3                            PAD-JUMPER-3-NO_YES_SILK SparkFun-Passives (2577 -937)           R0
SJ4                            PAD-JUMPER-3-NO_YES_SILK SparkFun-Passives (2577 -1037)          R0
SJ5                            PAD-JUMPER-2-NO_YES_SILK SparkFun-Passives (2578 -590)           R180
